iter	Passed	Remaining
0	1	152
1	2	145
2	4	140
3	5	129
4	6	127
5	8	127
6	9	126
7	10	123
8	12	122
9	13	120
10	14	119
11	16	117
12	17	116
13	18	115
14	20	114
15	21	112
16	22	111
17	24	109
18	25	108
19	26	106
20	28	106
21	29	104
22	30	103
23	32	102
24	33	100
25	35	99
26	36	98
27	37	97
28	39	96
29	40	94
30	42	93
31	43	92
32	44	91
33	46	89
34	47	88
35	48	86
36	50	85
37	51	84
38	52	82
39	54	81
40	55	80
41	56	77
42	57	76
43	59	75
44	60	73
45	61	72
46	63	71
47	64	69
48	65	68
49	67	67
50	68	65
51	69	64
52	71	63
53	72	61
54	73	59
55	74	58
56	76	57
57	77	56
58	78	54
59	80	53
60	81	52
61	82	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	92	41
69	93	39
70	94	38
71	95	37
72	97	35
73	98	34
74	99	33
75	101	32
76	102	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	24
82	110	22
83	112	21
84	113	20
85	114	18
86	116	17
87	117	16
88	118	14
89	120	13
90	121	12
91	122	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	4
97	131	2
98	132	1
99	133	0
