iter	Passed	Remaining
0	143	143662
1	145	72612
2	147	48875
3	148	36992
4	150	29867
5	151	25125
6	153	21734
7	154	19166
8	156	17177
9	157	15569
10	158	14273
11	160	13202
12	161	12280
13	163	11488
14	164	10797
15	165	10190
16	166	9651
17	168	9177
18	169	8771
19	171	8387
20	172	8055
21	174	7751
22	175	7470
23	177	7209
24	178	6961
25	179	6733
26	180	6521
27	182	6323
28	183	6149
29	184	5978
30	186	5819
31	187	5669
32	189	5538
33	190	5411
34	191	5287
35	193	5171
36	194	5059
37	195	4954
38	197	4859
39	198	4764
40	199	4672
41	200	4583
42	202	4500
43	203	4422
44	205	4352
45	206	4282
46	207	4212
47	209	4145
48	210	4081
49	211	4019
50	212	3961
51	214	3904
52	215	3850
53	216	3797
54	218	3748
55	219	3706
56	221	3660
57	222	3615
58	223	3571
59	225	3530
60	226	3488
61	227	3446
62	229	3407
63	230	3368
64	231	3332
65	232	3295
66	234	3266
67	236	3235
68	237	3206
69	239	3177
70	240	3149
71	242	3121
72	243	3094
73	245	3066
74	246	3038
75	247	3011
76	249	2987
77	250	2964
78	252	2938
79	253	2912
80	254	2889
81	255	2865
82	256	2835
83	257	2812
84	259	2791
85	260	2770
86	261	2748
87	263	2729
88	264	2711
89	266	2695
90	267	2676
91	269	2657
92	270	2638
93	271	2620
94	273	2601
95	274	2584
96	275	2566
97	277	2549
98	278	2535
99	280	2522
100	281	2508
101	283	2492
102	284	2475
103	285	2460
104	286	2445
105	288	2430
106	289	2415
107	290	2400
108	291	2386
109	293	2373
110	294	2362
111	296	2349
112	297	2336
113	299	2323
114	300	2310
115	301	2297
116	302	2283
117	303	2270
118	304	2257
119	306	2245
120	307	2233
121	308	2221
122	310	2213
123	311	2202
124	312	2190
125	314	2179
126	315	2166
127	316	2156
128	317	2146
129	319	2135
130	320	2124
131	321	2114
132	323	2106
133	324	2097
134	326	2088
135	327	2080
136	329	2073
137	330	2064
138	332	2056
139	333	2049
140	334	2040
141	335	2028
142	337	2019
143	338	2011
144	339	2004
145	341	1996
146	342	1988
147	343	1979
148	345	1971
149	346	1962
150	347	1954
151	348	1946
152	350	1938
153	351	1930
154	352	1922
155	354	1917
156	355	1910
157	357	1903
158	358	1895
159	359	1888
160	360	1879
161	361	1871
162	363	1864
163	364	1857
164	365	1850
165	367	1844
166	368	1839
167	370	1834
168	371	1827
169	372	1820
170	374	1814
171	375	1807
172	376	1801
173	378	1794
174	379	1788
175	380	1782
176	382	1776
177	383	1771
178	385	1766
179	386	1760
180	387	1754
181	389	1748
182	390	1742
183	391	1737
184	392	1731
185	394	1725
186	395	1719
187	396	1713
188	398	1708
189	400	1705
190	401	1700
191	402	1695
192	404	1690
193	405	1685
194	406	1679
195	408	1675
196	410	1671
197	411	1667
198	413	1663
199	415	1660
200	416	1655
201	417	1650
202	419	1646
203	420	1641
204	421	1636
205	423	1631
206	424	1626
207	425	1621
208	427	1616
209	428	1613
210	430	1608
211	431	1604
212	432	1599
213	434	1595
214	435	1590
215	437	1587
216	438	1582
217	439	1578
218	441	1573
219	442	1568
220	443	1564
221	445	1560
222	446	1556
223	448	1552
224	449	1547
225	450	1543
226	452	1539
227	453	1534
228	454	1530
229	455	1526
230	457	1521
231	458	1518
232	460	1515
233	461	1511
234	463	1507
235	464	1503
236	465	1499
237	467	1495
238	468	1490
239	469	1486
240	470	1482
241	472	1478
242	473	1475
243	475	1471
244	476	1467
245	477	1463
246	479	1460
247	480	1456
248	481	1452
249	482	1448
250	484	1444
251	485	1440
252	486	1436
253	488	1433
254	489	1429
255	490	1425
256	491	1422
257	493	1418
258	494	1415
259	495	1411
260	497	1407
261	498	1404
262	499	1400
263	500	1396
264	502	1393
265	503	1390
266	505	1387
267	506	1384
268	508	1381
269	509	1378
270	511	1376
271	513	1373
272	514	1370
273	515	1366
274	517	1363
275	518	1360
276	520	1357
277	521	1354
278	522	1351
279	524	1348
280	525	1345
281	527	1342
282	528	1339
283	530	1336
284	531	1333
285	533	1331
286	534	1328
287	536	1326
288	537	1323
289	539	1320
290	540	1317
291	542	1314
292	543	1311
293	544	1308
294	546	1305
295	547	1303
296	549	1300
297	550	1297
298	552	1295
299	553	1292
300	555	1289
301	556	1286
302	557	1283
303	559	1280
304	561	1279
305	563	1278
306	565	1275
307	566	1273
308	568	1270
309	569	1268
310	570	1264
311	572	1262
312	573	1259
313	575	1256
314	576	1253
315	578	1251
316	579	1249
317	581	1246
318	582	1243
319	584	1241
320	585	1238
321	587	1236
322	588	1232
323	589	1229
324	590	1227
325	592	1224
326	593	1221
327	594	1218
328	595	1215
329	597	1212
330	598	1209
331	600	1207
332	601	1204
333	602	1202
334	604	1199
335	605	1197
336	607	1194
337	608	1191
338	609	1189
339	611	1186
340	612	1184
341	614	1181
342	615	1179
343	616	1175
344	618	1173
345	619	1170
346	620	1167
347	621	1164
348	622	1161
349	623	1158
350	625	1156
351	626	1153
352	628	1151
353	629	1148
354	631	1146
355	632	1144
356	633	1141
357	635	1139
358	636	1137
359	638	1134
360	639	1131
361	640	1129
362	642	1127
363	643	1124
364	645	1122
365	646	1119
366	647	1117
367	649	1114
368	650	1112
369	652	1110
370	653	1107
371	654	1105
372	656	1102
373	657	1100
374	659	1098
375	660	1095
376	661	1093
377	662	1090
378	664	1088
379	665	1086
380	666	1083
381	668	1081
382	669	1078
383	671	1076
384	672	1074
385	674	1072
386	675	1069
387	676	1067
388	677	1064
389	678	1061
390	680	1059
391	681	1057
392	682	1054
393	684	1052
394	685	1049
395	686	1047
396	687	1044
397	689	1042
398	690	1040
399	691	1037
400	693	1035
401	694	1032
402	695	1030
403	697	1028
404	698	1025
405	699	1023
406	700	1020
407	701	1018
408	703	1016
409	704	1013
410	705	1011
411	707	1009
412	708	1007
413	710	1005
414	711	1002
415	712	1000
416	713	998
417	715	995
418	716	993
419	717	991
420	719	989
421	720	987
422	721	984
423	723	982
424	724	980
425	725	977
426	727	975
427	728	973
428	729	971
429	731	969
430	732	967
431	734	965
432	735	963
433	736	960
434	737	958
435	739	956
436	740	953
437	741	951
438	742	949
439	744	947
440	745	944
441	746	942
